Name,Price,Features,Ratings,Sentiments
MSI Stealth Intel Core i7 8th Gen 8750H - (16 GB/512 GB...,"₹1,84,790","15.6 inch, Black, 1.88 kg",4.8,Positive
Cubonic AK02 PUBG Mobile Gaming wireless Controller For...,₹963,"Black, For Android, iOS",3.3,Negative
Kreo Iceberg Compact Mobile Cooler for Android/IOS Smar...,₹999,"Black, For Android, iOS",4.0,Positive
Lenovo LOQ AMD Ryzen 5 Quad Core 7235HS - (12 GB/512 GB...,"₹54,990","15.6 Inch, Luna Grey, 2.38 Kg, With MS Office",4.4,Positive
Inorvo Combo pack of [2 Pair] PUBG Finger sleeve [2 Pai...,₹449,"Blue, Black, For Android",3.7,Negative
rich hood HIGH QUALITY FINGER GLOVES Mobile Game Contro...,₹139,"Black, For Android, iOS",3.8,Negative
MSI Katana 15 Intel Core i9 13th Gen 13900H - (16 GB/1 ...,"₹1,28,690","15.6 Inch, Black, 2.25 Kg",4.3,Positive
"TEWENT Pubg Anti-Slip Thumb Yellow Sleeve, Slip-Proof S...",₹149,"Black, For iOS, Android",4.0,Positive
AMD Ryzen 5 8500G 3.5 GHz Upto 5 GHz AM5 Socket 6 Cores...,"₹14,759",Silver,4.6,Positive
"Cubonic X76 Wired Magnetic Mobile Cooler, Gaming Fan, E...","₹1,199",Black,4.2,Positive
"ENTWINO WARRIOR Gaming Cabinet,Supports 7 RGB Fans,Temp...","₹7,999",Black,3.6,Negative
Viraan combo pack of 1 POUCH and 2 pair finger sleeves ...,₹179,"Red&Black Triggers, Black Finger Sleeves, Black Pouch, For Android",3.3,Negative
Acer Nitro V AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 ...,"₹56,990","15.6 Inch, Obsidian Black, 2.1 Kg",4.3,Positive
ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS - (16 ...,"₹55,990","15.6 Inch, Graphite Black, 2.30 Kg",4.4,Positive
DELL Intel Core i7 13650HX - (16 GB/512 GB SSD/Windows ...,"₹1,19,890","15.6 Inch, Dark Shadow Grey, 3.31 Kg, With MS Office",5.0,Positive
MSI GF63 Intel Core i7 11th Gen 11800H - (16 GB/512 GB ...,"₹89,990","15.6 Inch, Black, 1.86 Kg",4.3,Positive
MSI GP Intel Core i7 7th Gen 7700HQ - (16 GB/1 TB HDD/1...,"₹1,12,990","15.6 inch, Black, 2.4 kg",4.8,Positive
HP Victus AMD Ryzen 7 Octa Core 5800H - (8 GB/512 GB SS...,"₹74,499","16.1 inch, Mica Silver, 2.48 kg, With MS Office",4.1,Positive
"Aliens Mobile Cooler Gaming Fan, Applicable Mobile Phon...",₹854,"Yellow, For Android, iOS",5.0,Positive
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 ...,"₹58,990","15.6 inch, Luna Grey, 2.38 kg",4.3,Positive
MSI GP66 Leopard Intel Core i7 11th Gen 11800H - (16 GB...,"₹1,29,990","15.6 inch, Black, 2.38 kg",4.5,Positive
MSI GF63 Thin Intel Core i7 9th Gen 9750H - (8 GB/512 G...,"₹66,490","15.6 inch, Black, 1.86 kg",4.5,Positive
MSI Thin 15 Intel Core i5 13th Gen 13420H - (16 GB/512 ...,"₹56,990","15.6 Inch, Cosmos Gray, 1.86 Kg",4.0,Positive
We Desi Stuff Gta Mousepad | Gaming Mousepad Mousepad,₹211,Multicolor,4.0,Positive
MSI Pulse GL66 Intel Core i7 11th Gen 11800H - (16 GB/1...,"₹1,13,990","15.6 inches, Grey, 2.25 kg",4.5,Positive
HP Victus Intel Core i7 12th Gen 12650H - (16 GB/512 GB...,"₹94,990","15.6 Inch, Mica Silver, 2.37 kg, With MS Office",4.1,Positive
Lenovo Ideapad Gaming 3i Intel Core i5 10th Gen 10300H ...,"₹68,990","15.6 inch, Onyx Black, 2.2 kg",4.4,Positive
"ASUS Vivobook 16X For Creator, Intel H Series Intel Cor...","₹67,990","16 Inch, Indie Black, 1.80 Kg, With MS Office",4.2,Positive
MSI Cyborg 15 Intel Core i5 12th Gen 12450H - (16 GB/51...,"₹56,990","15.6 Inch, Translucent Black, 1.98 Kg",4.6,Positive
AMD Ryzen 5 5600G 3.9 GHz Upto 4.4 GHz AM4 Socket 6 Cor...,"₹12,439",Grey,4.5,Positive
Acer Predator Helios 300 Intel Core i7 11th Gen 11800H ...,"₹1,17,990","15.6 inch, Abyssal Black, 2.3 kg",4.4,Positive
MSI Cyborg 15 AI PC Intel Core Ultra 7 155H - (16 GB/1 ...,"₹1,04,990","15.6 Inch, Translucent Black, 1.9 Kg",4.0,Positive
"Cubonic Magnetic Phone Cooler Fan, RGB Portable Radiato...","₹1,199","Black, For Android, iOS",4.1,Positive
"Elixora IceStorm RGB Gaming Phone Cooler , Silent Cooli...","₹1,419","Multicolor, For Android, iOS",3.8,Negative
Acer Predator Helios 300 Intel Core i5 8th Gen 8300H - ...,"₹74,590","15.6 inch, Obsidian Black, 2.5 kg",4.6,Positive
Acer AMD Ryzen 7 Octa Core 8845HS - (16 GB/1 TB SSD/Win...,"₹1,14,990","16 Inch, Obsidian Black, 2.1 Kg",4.7,Positive
ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800HS - (16 G...,"₹78,190","15.6 Inch, Eclipse Gray, 2.10 Kg",4.3,Positive
MSI Creator Z16 Intel Core i9 11th Gen 11900H - (16 GB/...,"₹1,72,990","16 inch, Lunar Gray, 2.2 kg",4.1,Positive
MSI Sword 16 HX Intel Core i9 13th Gen 13980HX - (32 GB...,"₹1,32,990","16 Inch, Cosmos Gray, 2.3 Kg, With MS Office",4.0,Positive
